"";"date";"gesamt"
"959";2014-02-27;2157
"960";2014-02-28;2253
"961";2014-03-01;1245
"962";2014-03-02;577
"963";2014-03-03;1954
"964";2014-03-04;1474
"965";2014-03-05;1534
"966";2014-03-06;2008
"967";2014-03-07;1973
"968";2014-03-08;1937
"969";2014-03-09;1991
"970";2014-03-10;3016
"971";2014-03-11;2847
"972";2014-03-12;2890
"973";2014-03-13;3154
"974";2014-03-14;3060
"975";2014-03-15;1097
"976";2014-03-16;757
"977";2014-03-17;3155
"978";2014-03-18;3443
"979";2014-03-19;2393
"980";2014-03-20;3644
"981";2014-03-21;3607
"982";2014-03-22;1919
"983";2014-03-23;347
"984";2014-03-24;1798
"985";2014-03-25;2034
"986";2014-03-26;2351
"987";2014-03-27;3034
"988";2014-03-28;2978
"989";2014-03-29;2862
"990";2014-03-30;2573
"991";2014-03-31;3438
"992";2014-04-01;3790
"993";2014-04-02;4050
"994";2014-04-03;3915
"995";2014-04-04;3475
"996";2014-04-05;2384
"997";2014-04-06;1547
"998";2014-04-07;4305
"999";2014-04-08;2333
"1000";2014-04-09;3199
"1001";2014-04-10;2286
"1002";2014-04-11;3367
"1003";2014-04-12;2541
"1004";2014-04-13;1857
"1005";2014-04-14;2507
"1006";2014-04-15;2223
"1007";2014-04-16;2398
"1008";2014-04-17;2729
"1009";2014-04-18;530
"1010";2014-04-19;1115
"1011";2014-04-20;982
"1012";2014-04-21;1238
"1013";2014-04-22;2398
"1014";2014-04-23;3509
"1015";2014-04-24;3770
"1016";2014-04-25;3963
"1017";2014-04-26;2994
"1018";2014-04-27;633
"1019";2014-04-28;2567
"1020";2014-04-29;2804
"1021";2014-04-30;3504
"1022";2014-05-01;2640
"1023";2014-05-02;2150
"1024";2014-05-03;1002
"1025";2014-05-04;1761
"1026";2014-05-05;4000
"1027";2014-05-06;4446
"1028";2014-05-07;1698
"1029";2014-05-08;3925
"1030";2014-05-09;2741
"1031";2014-05-10;2881
"1032";2014-05-11;1280
"1033";2014-05-12;2999
"1034";2014-05-13;2551
"1035";2014-05-14;2395
"1036";2014-05-15;2735
"1037";2014-05-16;2737
"1038";2014-05-17;1423
"1039";2014-05-18;2203
"1040";2014-05-19;4368
"1041";2014-05-20;5146
"1042";2014-05-21;5123
"1043";2014-05-22;4934
"1044";2014-05-23;3542
"1045";2014-05-24;2789
"1046";2014-05-25;3375
"1047";2014-05-26;3292
"1048";2014-05-27;2234
"1049";2014-05-28;2825
"1050";2014-05-29;1317
"1051";2014-05-30;2284
"1052";2014-05-31;2720
"1053";2014-06-01;2321
"1054";2014-06-02;3753
"1055";2014-06-03;4197
"1056";2014-06-04;3690
"1057";2014-06-05;3984
"1058";2014-06-06;4630
"1059";2014-06-07;3458
"1060";2014-06-08;2851
"1061";2014-06-09;2553
"1062";2014-06-10;4047
"1063";2014-06-11;3686
"1064";2014-06-12;3835
"1065";2014-06-13;3581
"1066";2014-06-14;2551
"1067";2014-06-15;2733
"1068";2014-06-16;3853
"1069";2014-06-17;3582
"1070";2014-06-18;3874
"1071";2014-06-19;2768
"1072";2014-06-20;1689
"1073";2014-06-21;2680
"1074";2014-06-22;2869
"1075";2014-06-23;4470
"1076";2014-06-24;1737
"1077";2014-06-25;3666
"1078";2014-06-26;3678
"1079";2014-06-27;2473
"1080";2014-06-28;2889
